date,,ASSET
2010/1/3,0,499996987.7
2010/1/10,1,502109789
2010/1/17,2,505586585.3
2010/1/24,3,490680052.6
2010/1/31,4,491648062
2010/2/7,5,491650870.2
2010/2/14,6,497949673.8
2010/2/21,7,487632637.5
2010/2/28,8,493676816.4
2010/3/7,9,492256954.2
2010/3/14,10,485613037.9
2010/3/21,11,495482024.1
2010/3/28,12,491731742.7
2010/4/4,13,491577245
2010/4/11,14,493820389
2010/4/18,15,490819313
2010/4/25,16,495664142.2
2010/5/2,17,491853780
2010/5/9,18,481940368.1
2010/5/16,19,466870861.2
2010/5/23,20,483086839.6
2010/5/30,21,481889677.5
2010/6/6,22,485990925
2010/6/13,23,493394264.9
2010/6/20,24,485277231.3
2010/6/27,25,477346335.3
2010/7/4,26,473611293.4
2010/7/11,27,480437008.9
2010/7/18,28,478094998.6
2010/7/25,29,486521321.6
2010/8/1,30,489472876.3
2010/8/8,31,493354104.1
2010/8/15,32,493738656.2
2010/8/22,33,492324746.9
2010/8/29,34,496482097.5
2010/9/5,35,498194860.8
2010/9/12,36,492515172
2010/9/19,37,495536567
2010/9/26,38,494714155.6
2010/10/3,39,496676343.6
2010/10/10,40,496963691.5
2010/10/17,41,491054871.8
2010/10/24,42,494313789.1
2010/10/31,43,503926764.3
2010/11/7,44,510304110
2010/11/14,45,503545713.9
2010/11/21,46,517112088.8
2010/11/28,47,518540680.6
2010/12/5,48,512194240.8
2010/12/12,49,514775744.4
2010/12/19,50,512844860.6
2010/12/26,51,508501017.2
2011/1/2,52,506807406.4
2011/1/9,53,499207731.6
2011/1/16,54,498283062.3
2011/1/23,55,495285885.7
2011/1/30,56,499840357
2011/2/6,57,498742951.2
2011/2/13,58,503539517.6
2011/2/20,59,510820770.3
2011/2/27,60,513063393
2011/3/6,61,510097363.1
2011/3/13,62,507269895.7
2011/3/20,63,506317327.9
2011/3/27,64,509063913.4
2011/4/3,65,503087293.1
2011/4/10,66,507786906.3
2011/4/17,67,511099577.6
2011/4/24,68,504243704.3
2011/5/1,69,504978764
2011/5/8,70,507706064.2
2011/5/15,71,503581062.3
2011/5/22,72,498549982.1
2011/5/29,73,493365321.3
2011/6/5,74,490242808
2011/6/12,75,495097019.1
2011/6/19,76,485856193
2011/6/26,77,496109059
2011/7/3,78,494132992.1
2011/7/10,79,496939590.1
2011/7/17,80,498952702.8
2011/7/24,81,492460392.4
2011/7/31,82,494362482.5
2011/8/7,83,486632693.4
2011/8/14,84,491296612.9
2011/8/21,85,489769624
2011/8/28,86,492893908.1
2011/9/4,87,481814033
2011/9/11,88,496462405.1
2011/9/18,89,487272853.1
2011/9/25,90,487369615.5
2011/10/2,91,495878442.9
2011/10/9,92,482516357.3
2011/10/16,93,486795060.7
2011/10/23,94,478874224.1
2011/10/30,95,486311352.9
2011/11/6,96,491270804.9
2011/11/13,97,496744521.9
2011/11/20,98,492646332.5
2011/11/27,99,490852008.8
2011/12/4,100,479025371.4
2011/12/11,101,477983375.4
2011/12/18,102,475193626.7
2011/12/25,103,473051970.2
2012/1/1,104,493091077.2
2012/1/8,105,472381080.2
2012/1/15,106,472784141.1
2012/1/22,107,491203108.2
2012/1/29,108,471529801.3
2012/2/5,109,472013472.1
2012/2/12,110,482661280.2
2012/2/19,111,476794736.4
2012/2/26,112,484407387.8
2012/3/4,113,485609499.1
2012/3/11,114,491073624.8
2012/3/18,115,488534704.6
2012/3/25,116,478400767.7
2012/4/1,117,478450767.7
2012/4/8,118,479880235
2012/4/15,119,481903793.1
2012/4/22,120,483234890.3
2012/4/29,121,485437258.8
2012/5/6,122,479502766.1
2012/5/13,123,476999990.5
2012/5/20,124,474381098.2
2012/5/27,125,470852009.1
2012/6/3,126,467705752
2012/6/10,127,469671301.6
2012/6/17,128,469468703.6
2012/6/24,129,466467297.7
2012/7/1,130,467351333.1
2012/7/8,131,465583890
2012/7/15,132,459957241.3
2012/7/22,133,461218176.8
2012/7/29,134,457684434.3
2012/8/5,135,461884363.4
2012/8/12,136,457965122
2012/8/19,137,459945225.1
2012/8/26,138,461379374.2
2012/9/2,139,463439969.5
2012/9/9,140,465797887.6
2012/9/16,141,465199810.7
2012/9/23,142,463093342.6
2012/9/30,143,468560357.4
2012/10/7,144,462427358
2012/10/14,145,461493003.4
2012/10/21,146,464369001
2012/10/28,147,458846376.4
2012/11/4,148,460063900.4
2012/11/11,149,456791332.1
2012/11/18,150,452673524.7
2012/11/25,151,451197151
2012/12/2,152,442593519.8
2012/12/9,153,447184233.9
2012/12/16,154,448774156.6
2012/12/23,155,448299720.5
2012/12/30,156,452819949.5
2013/1/6,157,449355212.1
2013/1/13,158,458923590.1
2013/1/20,159,460647699.1
2013/1/27,160,459240694.1
2013/2/3,161,457207288.9
2013/2/10,162,459444265.6
2013/2/17,163,461798470.1
2013/2/24,164,462512901.1
2013/3/3,165,462371414.7
2013/3/10,166,467025248.8
2013/3/17,167,462503758.5
2013/3/24,168,463959923
2013/3/31,169,462775832.8
2013/4/7,170,461464277
2013/4/14,171,461997022.8
2013/4/21,172,464555257.7
2013/4/28,173,453878446.9
2013/5/5,174,459594487.4
2013/5/12,175,461082970.5
2013/5/19,176,464597249
2013/5/26,177,468043465.8
2013/6/2,178,463380143.4
2013/6/9,179,461061133.7
2013/6/16,180,460014993.6
2013/6/23,181,449308405.1
2013/6/30,182,454855932.8
2013/7/7,183,453011697.2
2013/7/14,184,460054205.5
2013/7/21,185,461296095.9
2013/7/28,186,462480919.7
2013/8/4,187,466379878.5
2013/8/11,188,465755087.1
2013/8/18,189,463902442.9
2013/8/25,190,476038294
2013/9/1,191,477902521.2
2013/9/8,192,480468455.9
2013/9/15,193,479110503.3
2013/9/22,194,480091850.1
2013/9/29,195,480252410.3
2013/10/6,196,485101162.6
2013/10/13,197,484116213.9
2013/10/20,198,486764306.8
2013/10/27,199,479171708.1
2013/11/3,200,475371386.3
2013/11/10,201,470914148.8
2013/11/17,202,478052454.3
2013/11/24,203,475602249.3
2013/12/1,204,473364025.3
2013/12/8,205,478350957.2
2013/12/15,206,477222118.1
2013/12/22,207,474569044.7
2013/12/29,208,478921893.2
2014/1/5,209,477647434.6
2014/1/12,210,476251345.9
2014/1/19,211,476862144.6
2014/1/26,212,485887366.1
2014/2/2,213,480689618.3
2014/2/9,214,489926981.5
2014/2/16,215,493638305.1
2014/2/23,216,493747660.5
2014/3/2,217,486984702
2014/3/9,218,482883504.4
2014/3/16,219,485483626.5
2014/3/23,220,487043909.4
2014/3/30,221,475636083.1
2014/4/6,222,478924370.7
2014/4/13,223,478751745.9
2014/4/20,224,473082029.6
2014/4/27,225,467746677.7
2014/5/4,226,470389497.2
2014/5/11,227,471025487.4
2014/5/18,228,464221290.7
2014/5/25,229,465440500.3
2014/6/1,230,466377776.6
2014/6/8,231,468171269.8
2014/6/15,232,470531524.9
2014/6/22,233,474310244.6
2014/6/29,234,473704191.7
2014/7/6,235,476311171.9
2014/7/13,236,474280689.6
2014/7/20,237,470822236.2
2014/7/27,238,468394504.8
2014/8/3,239,477952738.8
2014/8/10,240,482981351.6
2014/8/17,241,486973769.4
2014/8/24,242,484194076.1
2014/8/31,243,479468816.6
2014/9/7,244,485678533.9
2014/9/14,245,485207577.5
2014/9/21,246,480115313.6
2014/9/28,247,485275948.7
2014/10/5,248,486202424.4
2014/10/12,249,482269391.7
2014/10/19,250,480584515.7
2014/10/26,251,472450053.8
2014/11/2,252,480753365.6
2014/11/9,253,478919130.6
2014/11/16,254,481534236.3
2014/11/23,255,487578795.9
2014/11/30,256,488507662.2
2014/12/7,257,493191855.5
2014/12/14,258,497650481.6
2014/12/21,259,486600433.9
2014/12/28,260,487095352.9
2015/1/4,261,486857157.2
2015/1/11,262,484332132.3
2015/1/18,263,485564429.6
2015/1/25,264,489802025.8
2015/2/1,265,487553309
2015/2/8,266,483301980.9
2015/2/15,267,496028383.4
2015/2/22,268,497603820.5
2015/3/1,269,501149258.2
2015/3/8,270,504621750.1
2015/3/15,271,510616042.1
2015/3/22,272,523397778.2
2015/3/29,273,507288289.5
2015/4/5,274,511777660.7
2015/4/12,275,529970469.4
2015/4/19,276,521704235.4
2015/4/26,277,534030466.5
2015/5/3,278,539951027.4
2015/5/10,279,549660581.6
2015/5/17,280,556249795.2
2015/5/24,281,577709538.6
2015/5/31,282,589061911.7
2015/6/7,283,585020122.5
2015/6/14,284,596462143.5
2015/6/21,285,519680772.7
2015/6/28,286,536361563
2015/7/5,287,506800763.5
2015/7/12,288,494313520.6
2015/7/19,289,530416059
2015/7/26,290,515388679.2
2015/8/2,291,516406360.6
2015/8/9,292,539341297.2
2015/8/16,293,550189427.4
2015/8/23,294,519560738.1
2015/8/30,295,504605190.3
2015/9/6,296,493766607.7
2015/9/13,297,498068319.2
2015/9/20,298,494224765.8
2015/9/27,299,487803568.4
2015/10/4,300,493955762.4
2015/10/11,301,504702146
2015/10/18,302,512424805.3
2015/10/25,303,510953360.9
2015/11/1,304,511638970.8
2015/11/8,305,530692317.6
2015/11/15,306,541088464.5
2015/11/22,307,535811156.2
2015/11/29,308,539732519.9
2015/12/6,309,545142318.9
2015/12/13,310,540249096.6
2015/12/20,311,550601301.6
2015/12/27,312,546920201.8
2016/1/3,313,549694376.7
2016/1/10,314,527833038.3
2016/1/17,315,529192999.5
2016/1/24,316,522501319.1
2016/1/31,317,506987369.1
2016/2/7,318,501890847.7
2016/2/14,319,512889520.8
2016/2/21,320,525138260.3
2016/2/28,321,504572492.6
2016/3/6,322,494820076.9
2016/3/13,323,500278688.2
2016/3/20,324,515164888.6
2016/3/27,325,512985110.3
2016/4/3,326,519182161.4
2016/4/10,327,515781834.1
2016/4/17,328,517118176.2
2016/4/24,329,504414846.1
2016/5/1,330,506370652.5
2016/5/8,331,494301218.9
2016/5/15,332,483105906.7
2016/5/22,333,489639016
2016/5/29,334,485832043.5
2016/6/5,335,494322800.1
2016/6/12,336,488146998
2016/6/19,337,502682657.3
2016/6/26,338,509764868
2016/7/3,339,517295639.7
2016/7/10,340,525753519.3
2016/7/17,341,517790880.6
2016/7/24,342,514024296.3
2016/7/31,343,502495191.7
2016/8/7,344,503980379.6
2016/8/14,345,515849712.2
2016/8/21,346,506312852.1
2016/8/28,347,515711343.5
2016/9/4,348,515446572.8
2016/9/11,349,497678336.4
2016/9/18,350,506839248
2016/9/25,351,499187578.4
2016/10/2,352,513838866.3
2016/10/9,353,510456970.8
2016/10/16,354,507787307
2016/10/23,355,508237422.7
2016/10/30,356,511641565
2016/11/6,357,510967267.7
2016/11/13,358,512896768.9
2016/11/20,359,513886846.6
2016/11/27,360,512662035.5
2016/12/4,361,502880977.8
2016/12/11,362,497555329.4
2016/12/18,363,506775747.6
2016/12/25,364,516300476.6
2017/1/1,365,507230514.3
2017/1/8,366,512045410.7
2017/1/15,367,502889438.3
2017/1/22,368,497373614.4
2017/1/29,369,504283872.5
2017/2/5,370,498910179.4
2017/2/12,371,509326868.2
2017/2/19,372,510006887.6
2017/2/26,373,505928830.3
2017/3/5,374,507775212.9
2017/3/12,375,507375344.2
2017/3/19,376,507781024
2017/3/26,377,506130023.4
2017/4/2,378,519030200.7
2017/4/9,379,503847655.9
2017/4/16,380,500614479.1
2017/4/23,381,492135977.2
2017/4/30,382,511054674.3
2017/5/7,383,490832412.7
2017/5/14,384,486769347
2017/5/21,385,488870317.5
2017/5/28,386,485959283.8
2017/6/4,387,486597204.6
2017/6/11,388,484402370.6
2017/6/18,389,489214613.6
2017/6/25,390,489868775.1
2017/7/2,391,491665165.6
2017/7/9,392,497011040.1
2017/7/16,393,487213962.7
2017/7/23,394,490089366.9
2017/7/30,395,495056090.7
2017/8/6,396,494671593.4
2017/8/13,397,497187166.3
2017/8/20,398,502907405.6
2017/8/27,399,502431400.7
2017/9/3,400,496186061
2017/9/10,401,505457003.5
2017/9/17,402,509009784
2017/9/24,403,510323836.8
2017/10/1,404,509687111.6
2017/10/8,405,515723540.1
2017/10/15,406,505914212.7
2017/10/22,407,504142860.3
2017/10/29,408,502537835.3
2017/11/5,409,500651434.5
2017/11/12,410,503115765.9
2017/11/19,411,500986675.1
2017/11/26,412,491489967.2
2017/12/3,413,497203105
2017/12/10,414,498280942.9
2017/12/17,415,495575440.1
2017/12/24,416,500127760.1
2017/12/31,417,503539581.9
2018/1/7,418,496961114.4
2018/1/14,419,503555022.7
2018/1/21,420,502897915.4
2018/1/28,421,496230159.3
2018/2/4,422,487634709.7
2018/2/11,423,485644005.2
2018/2/18,424,494214233.8
2018/2/25,425,490137476.1
2018/3/4,426,494243939
2018/3/11,427,499229272.6
2018/3/18,428,497164465.4
2018/3/25,429,493200020.8
2018/4/1,430,500639280
2018/4/8,431,492517065.6
2018/4/15,432,497691885.9
2018/4/22,433,491671898
2018/4/29,434,497047804.2
2018/5/6,435,492212866
2018/5/13,436,490935468.8
2018/5/20,437,491839363.1
2018/5/27,438,485985394.2
2018/6/3,439,482771983.9
2018/6/10,440,482388464
2018/6/17,441,496993875.4
2018/6/24,442,481606470.6
2018/7/1,443,486862221.6
2018/7/8,444,487004823.5
2018/7/15,445,488363800.7
2018/7/22,446,490025373.6
2018/7/29,447,488076698.3
2018/8/5,448,479661361.3
2018/8/12,449,487536010.2
2018/8/19,450,484398743.4
2018/8/26,451,486526160.5
2018/9/2,452,484514110.2
2018/9/9,453,481053821.1
2018/9/16,454,479788633.7
2018/9/23,455,496293314.7
2018/9/30,456,496293314.7
2018/10/7,457,477535254.5
2018/10/14,458,468356596.3
2018/10/21,459,473055150.9
2018/10/28,460,469056955.6
2018/11/4,461,475610814.9
2018/11/11,462,477570009.1
2018/11/18,463,480929790
2018/11/25,464,475744851.7
2018/12/2,465,482526402.9
2018/12/9,466,480994429.1
2018/12/16,467,480414447
2018/12/23,468,479588999.1
2018/12/30,469,497702350.5
2019/1/6,470,485911761.7
2019/1/13,471,487017120.2
2019/1/20,472,486654958.6
2019/1/27,473,485176255.7
2019/2/3,474,496851735.4
2019/2/10,475,482701041.7
2019/2/17,476,493833959.7
2019/2/24,477,507381124.2
2019/3/3,478,508109920.8
2019/3/10,479,521760709.1
2019/3/17,480,519389787.9
2019/3/24,481,522933409.1
2019/3/31,482,525430797.4
2019/4/7,483,522561076.8
2019/4/14,484,521726791.8
2019/4/21,485,524272137.2
2019/4/28,486,510884912.4
2019/5/5,487,505364056.7
2019/5/12,488,509721592.5
2019/5/19,489,509903724.1
2019/5/26,490,513772591.9
2019/6/2,491,510075931.5
2019/6/9,492,506175619.3
2019/6/16,493,506498256.2
2019/6/23,494,513132808.7
2019/6/30,495,514055788.2
2019/7/7,496,507739399.2
2019/7/14,497,509662313.2
2019/7/21,498,505873337
2019/7/28,499,510086173.7
2019/8/4,500,506490154.1
2019/8/11,501,506014436.1
2019/8/18,502,513070801.4
2019/8/25,503,510906095.1
2019/9/1,504,518318048.8
2019/9/8,505,528873503.8
2019/9/15,506,526395173.7
2019/9/22,507,524365537.6
2019/9/29,508,516090407
2019/10/6,509,517900096.7
2019/10/13,510,525241000.9
2019/10/20,511,522893382
2019/10/27,512,526425765.5
2019/11/3,513,524220032.5
2019/11/10,514,516740652.3
2019/11/17,515,523917273.9
2019/11/24,516,520895311.7
2019/12/1,517,523309040.6
2019/12/8,518,529304834.4
2019/12/15,519,534348465.1
2019/12/22,520,532060334.4
2019/12/29,521,533231962
